STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WT07
EL PASO INTERNATIONAL AIRPORT TX US,20130101,0,0,-9999,46,29,4.7,330,320,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130102,0,0,-9999,49,28,11.2,10,360,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130103,0.28,2.9,-9999,34,28,10.7,350,350,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130104,0.02,0.2,-9999,34,28,4.9,230,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130105,0,0,-9999,38,22,2.2,230,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130106,0,0,-9999,49,21,4.5,360,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130107,0,0,-9999,56,33,10.3,50,50,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130108,0,0,-9999,58,39,6.7,110,110,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130109,0,0,-9999,57,37,9.2,50,50,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130110,0,0,-9999,60,28,6.5,240,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130111,0,0,-9999,54,31,11.4,230,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130112,0,0,-9999,44,28,11.4,260,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130113,0,0,-9999,42,18,3.8,330,160,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130114,0,0,-9999,44,22,4.7,280,270,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130115,0,0,-9999,39,24,8.5,320,320,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130116,0,0,-9999,47,18,2.9,360,360,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130117,0,0,-9999,57,23,7.2,130,130,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130118,0,0,-9999,59,30,4,10,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130119,0,0,-9999,62,29,4.7,350,360,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130120,0,0,-9999,64,29,4,20,30,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130121,0,0,-9999,66,37,8.1,360,350,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130122,0,0,-9999,67,37,4.7,10,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130123,0,0,-9999,70,29,2.5,220,140,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130124,0,0,-9999,71,33,5.6,270,270,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130125,0,0,-9999,63,47,3.1,40,320,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130126,0,0,-9999,67,47,6.3,250,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130127,0,0,-9999,66,46,5.8,240,280,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130128,0,0,-9999,66,41,13.6,260,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130129,0,0,-9999,51,34,22.6,270,250,1
EL PASO INTERNATIONAL AIRPORT TX US,20130130,0,0,-9999,50,32,12.8,290,290,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130131,0,0,-9999,56,24,2.5,20,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130201,0,0,-9999,64,27,4,240,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130202,0,0,-9999,68,31,5.4,340,340,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130203,0,0,-9999,63,38,3.8,310,310,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130204,0,0,-9999,65,45,7.4,270,270,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130205,0,0,-9999,67,37,3.8,250,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130206,0,0,-9999,68,39,8.1,250,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130207,0,0,-9999,65,46,4.7,250,300,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20130208,0,0,-9999,70,42,8.3,150,140,-9999
