STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WT07
EL PASO INTERNATIONAL AIRPORT TX US,20160820,0,0,81,84,73,6.5,40,50,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160821,1.53,0,76,86,63,9.4,300,300,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160822,0,0,74,89,66,6.5,70,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160823,0.41,0,78,91,66,5.8,190,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160824,0,0,75,90,68,6.9,240,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160825,0,0,78,88,68,6.7,80,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160826,0,0,76,91,66,5.6,350,20,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160827,0.33,0,79,90,67,6.9,290,270,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160828,0,0,76,90,67,5.4,20,20,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160829,0,0,76,88,67,7.8,70,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160830,0.23,0,73,78,67,6.9,90,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160831,0.16,0,73,82,69,5.1,130,120,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160901,0.23,0,74,83,66,5.1,80,60,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160902,0,0,76,88,68,5.8,270,100,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160903,0,0,79,91,70,5.8,130,130,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160904,0,0,81,94,71,7.8,150,150,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160905,0,0,83,93,74,12.3,140,150,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160906,0.45,0,79,80,68,7.8,220,220,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160907,0.43,0,72,84,66,7.4,250,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160908,0,0,76,84,70,11.4,240,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160909,0,0,79,93,68,5.6,330,300,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160910,0,0,77,82,67,10.3,80,70,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160911,0,0,73,88,64,3.4,160,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160912,0,0,80,91,73,9.4,290,300,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160913,0,0,79,89,67,5.4,210,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160914,0.05,0,78,90,62,4.9,160,120,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160915,0,0,79,92,69,6.3,220,220,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160916,0,0,78,90,66,6,230,220,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160917,0,0,78,93,64,3.4,280,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160918,0,0,79,95,64,3.1,310,310,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160919,0,0,79,97,64,4.7,360,310,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160920,0,0,82,96,69,5.8,100,100,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160921,0,0,83,95,71,6,150,150,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160922,0,0,82,93,69,8.7,150,160,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160923,0,0,81,91,66,10.5,250,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160924,0,0,77,84,64,7.6,250,280,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160925,0,0,72,80,62,14.1,70,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160926,0.08,0,64,65,55,10.1,100,130,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160927,0,0,60,77,56,2.7,290,300,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160928,0,0,69,85,56,4.3,110,100,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160929,0,0,75,86,64,8.5,100,100,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20160930,0.88,0,70,76,58,8.1,360,360,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161001,0,0,71,85,63,7.6,280,290,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161002,0,0,75,87,62,6.5,280,280,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161003,0,0,75,86,65,13.2,240,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161004,0,0,75,83,62,8.3,260,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161005,0,0,70,84,53,6.9,250,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161006,0,0,72,85,58,5.6,310,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161007,0,0,69,74,61,10.5,70,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161008,0,0,65,73,59,8.7,130,110,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161009,0,0,68,79,63,7.6,150,150,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161010,0,0,71,86,58,4,220,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161011,0,0,75,90,62,6,260,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161012,0,0,74,89,58,4.5,160,160,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161013,0,0,73,85,63,4.9,150,90,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161014,0,0,71,88,54,4.7,230,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161015,0,0,73,90,54,4.9,250,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161016,0,0,74,90,53,7.6,260,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161017,0,0,75,90,58,10.3,240,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161018,0,0,76,89,61,6.9,260,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161019,0,0,73,88,54,6.7,290,280,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161020,0,0,69,76,59,11.6,80,30,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161021,0,0,65,78,48,2.7,110,100,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161022,0,0,67,81,51,3.1,170,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161023,0,0,68,87,50,3.4,130,30,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161024,0,0,71,87,54,4,130,140,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161025,0,0,74,87,60,4.9,290,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161026,0,0,73,88,61,7.6,360,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161027,0,0,72,85,58,4,100,120,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161028,0,0,71,84,58,4.3,170,180,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161029,0,0,70,87,57,3.1,290,290,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161030,0,0,70,85,53,2.2,130,130,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161031,0,0,71,86,58,6.5,260,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161101,0,0,72,81,64,8.7,290,300,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161102,0,0,72,79,61,8.3,360,350,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161103,0,0,66,72,61,14.5,80,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161104,0.38,0,65,73,60,14.3,80,120,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161105,0,0,64,77,59,8.3,340,330,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161106,0,0,62,76,50,4.9,240,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161107,0,0,62,77,49,5.4,350,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161108,0,0,63,70,54,10.1,60,70,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161109,0,0,57,63,47,8.9,70,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161110,0,0,52,64,44,6.9,40,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161111,0,0,56,67,48,5.8,100,40,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161112,0,0,57,66,48,5.6,360,110,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161113,0,0,56,70,42,4.7,220,220,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161114,0,0,57,74,42,3.1,270,190,-9999
