Crash_ID,Crash_Fatal_Fl,Cmv_Involv_Fl,Schl_Bus_Fl,Rr_Relat_Fl,Medical_Advisory_Fl,Amend_Supp_Fl,Active_School_Zone_Fl,Crash_Date,Crash_Time,Case_ID,Local_Use,Rpt_CRIS_Cnty_ID,Rpt_City_ID,Rpt_Outside_City_Limit_Fl,Thousand_Damage_Fl,Rpt_Latitude,Rpt_Longitude,Rpt_Rdwy_Sys_ID,Rpt_Hwy_Num,Rpt_Hwy_Sfx,Rpt_Road_Part_ID,Rpt_Block_Num,Rpt_Street_Pfx,Rpt_Street_Name,Rpt_Street_Sfx,Private_Dr_Fl,Toll_Road_Fl,Crash_Speed_Limit,Road_Constr_Zone_Fl,Road_Constr_Zone_Wrkr_Fl,Rpt_Street_Desc,At_Intrsct_Fl,Rpt_Sec_Rdwy_Sys_ID,Rpt_Sec_Hwy_Num,Rpt_Sec_Hwy_Sfx,Rpt_Sec_Road_Part_ID,Rpt_Sec_Block_Num,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Ref_Mark_Offset_Amt,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Nbr,Rpt_Sec_Street_Desc,Rpt_CrossingNumber,Wthr_Cond_ID,Light_Cond_ID,Entr_Road_ID,Road_Type_ID,Road_Algn_ID,Surf_Cond_ID,Traffic_Cntl_ID,Investigat_Notify_Time,Investigat_Notify_Meth,Investigat_Arrv_Time,Report_Date,Investigat_Comp_Fl,ORI_Number,Investigat_Agency_ID,Investigat_Area_ID,Investigat_District_ID,Investigat_Region_ID,Bridge_Detail_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Obj_Struck_ID,Othr_Factr_ID,Road_Part_Adj_ID,Road_Cls_ID,Road_Relat_ID,Phys_Featr_1_ID,Phys_Featr_2_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Hwy_Sfx,Dfo,Street_Name,Street_Nbr,Control,Section,Milepoint,Ref_Mark_Nbr,Ref_Mark_Displ,Hwy_Sys_2,Hwy_Nbr_2,Hwy_Sfx_2,Street_Name_2,Street_Nbr_2,Control_2,Section_2,Milepoint_2,Txdot_Rptable_Fl,Onsys_Fl,Rural_Fl,Crash_Sev_ID,Pop_Group_ID,Located_Fl,Day_of_Week,Hwy_Dsgn_Lane_ID,Hwy_Dsgn_Hrt_ID,Hp_Shldr_Left,Hp_Shldr_Right,Hp_Median_Width,Base_Type_ID,Nbr_Of_Lane,Row_Width_Usual,Roadbed_Width,Surf_Width,Surf_Type_ID,Curb_Type_Left_ID,Curb_Type_Right_ID,Shldr_Type_Left_ID,Shldr_Width_Left,Shldr_Use_Left_ID,Shldr_Type_Right_ID,Shldr_Width_Right,Shldr_Use_Right_ID,Median_Type_ID,Median_Width,Rural_Urban_Type_ID,Func_Sys_ID,Adt_Curnt_Amt,Adt_Curnt_Year,Adt_Adj_Curnt_Amt,Pct_Single_Trk_Adt,Pct_Combo_Trk_Adt,Trk_Aadt_Pct,Curve_Type_ID,Curve_Lngth,Cd_Degr,Delta_Left_Right_ID,Dd_Degr,Feature_Crossed,Structure_Number,I_R_Min_Vert_Clear,Approach_Width,Bridge_Median_ID,Bridge_Loading_Type_ID,Bridge_Loading_In_1000_Lbs,Bridge_Srvc_Type_On_ID,Bridge_Srvc_Type_Under_ID,Culvert_Type_ID,Roadway_Width,Deck_Width,Bridge_Dir_Of_Traffic_ID,Bridge_Rte_Struct_Func_ID,Bridge_IR_Struct_Func_ID,CrossingNumber,RRCo,Poscrossing_ID,WDCode_ID,Standstop,Yield,Incap_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,MPO_ID,Investigat_Service_ID,Investigat_DA_ID,Investigator_Narrative
15397536,N,Y,N,N,N,N,N,9/26/2016,4:07 PM,,,55,1620,Y,Y,31.06251,-104.5,1,10,,1,,,NOT REPORTED,,N,N,55,Y,N,,N,,,,,,,NOT REPORTED,,150,F,E,10,,,2,1,0,2,1,2,20,4:13 PM,EL PASO DPS COMM.,4:30 PM,10/4/16,Y,,10000,,,163,8,9,4,1,3,49,1,1,4,21,21,71,136,31.85556591,-106.5751801,IH,10,,10.013,IH0010,,2121,1,10.004,10,150,,,,NOT REPORTED,,,,,Y,Y,N,1,9,Y,MON,5,0,4,10,70,8,4,350,80,48,5,0,0,2,14,3,2,14,5,2,56,4,11,108599,2014,108599,2.8,12.8,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,1,0,66,1,1,
15397676,N,Y,N,N,N,N,N,10/21/2016,7:20 PM,2016-100039,,71,16,N,Y,,,19,,,1,9000,N,DESERT,BLVD,N,N,55,N,N,BLACKTOP,Y,19,,,1,3000,,MOUNTAIN PASS,BLVD,,,,,BLACKTOP,,11,4,0,,5,1,5,7:20 PM,DISPATCHED,7:20 PM,10/22/16,Y,TX0710100,47,,,53,8,2,2,23,64,54,1,5,1,21,21,71,16,31.99755481,-106.5819703,,,,,N DESERT BLVD,,,,,,,,,,MOUNTAIN PASS BLVD,,,,,Y,N,N,5,4,Y,FRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,66,35,17,
15398392,N,Y,N,N,N,N,N,10/26/2016,7:23 AM,16-300033,CRCC/31,71,136,N,Y,,,1,10,,1,,,INTERSTATE 10 WEST,,N,N,60,N,N,,N,,,,,,,NOT REPORTED,,10,F,E,20,,,11,1,0,2,1,1,20,7:33 AM,DISPATCHED,7:46 AM,10/26/16,N,TX0710200,1259,,,,8,8,4,1,51,54,1,1,1,21,21,71,136,31.76816962,-106.4791937,IH,10,,20.135,IH0010,,2121,2,20.729,20,10,,,,NOT REPORTED,,,,,Y,Y,N,5,9,Y,WED,5,0,10,10,37,2,8,400,132,96,5,0,1,2,16,5,2,20,5,2,21,4,11,166259,2014,166259,2.1,4.9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,66,339,,
15398396,N,Y,N,N,N,N,N,10/26/2016,7:30 AM,16-300060,CRCC/55,71,136,N,Y,,,17,,,7,3601,,MONTANA,AVE,Y,N,5,N,N,PARKING LOT,N,19,,,1,1000,N,COPIA,AVE,,,,,PUBLIC ROADWAY,,11,1,98,,1,1,2,9:21 AM,ON VIEW,9:21 AM,10/26/16,N,TX0710200,1259,,,,8,4,4,4,64,12,7,9,5,33,21,71,136,,,,,,,MONTANA AVE,,,,,,,,,,N/A,,,,,N,N,N,0,9,N,WED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,,339,,
15398585,N,Y,Y,N,N,Y,N,10/26/2016,8:38 AM,16-300050,MVRC/83,71,136,N,Y,,,19,,,1,8700,,COLOMA,,N,N,30,N,N,,N,19,,,1,200,,LIBERTY,,,,,,,,11,1,98,,1,1,1,8:45 AM,DISPATCHED,8:50 AM,12/11/16,Y,TX0710200,1259,,,,8,4,4,1,64,48,1,5,1,21,21,71,136,31.698017,-106.3404117,,,,,COLOMA CIR,8602,,,,,,,,,N/A,,,,,Y,N,N,5,9,Y,WED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,0,0,0,66,915,,
15398588,N,Y,N,N,N,N,N,10/25/2016,7:26 AM,16-299030,MVRC/86,71,136,N,Y,,,19,,,1,100,,PADRES,ST,N,N,30,N,N,BLACKTOP,Y,19,,,1,200,,MECCA,ST,,,,,BLACKTOP,,11,1,0,,1,1,8,7:27 AM,DISPATCHED,7:36 AM,10/25/16,Y,TX0710200,1259,,,,8,2,1,23,64,8,1,5,1,21,21,71,136,31.69258485,-106.3398304,,,,,PADRES DR,,,,,,,,,,MECCA DR,,,,,Y,N,N,5,9,Y,TUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,0,0,0,66,915,,
15398589,N,Y,N,N,N,N,N,10/25/2016,12:09 PM,16-299133,MVRC/81,71,136,N,N,,,19,,,7,1100,,AIRWAY,BLVD,Y,N,40,N,N,,N,19,,,1,6700,,GATEWAY EAST,,,,,,,,11,1,0,,7,1,17,12:11 PM,DISPATCHED,12:38 PM,10/25/16,Y,TX0710200,1259,,,,8,2,4,31,64,54,7,9,5,33,21,71,136,,,,,,,AIRWAY BLVD,,,,,,,,,,N/A,,,,,N,N,N,2,9,N,TUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,0,1,0,,915,,
15398934,N,Y,Y,N,N,N,N,10/21/2016,7:55 AM,2016-002459,CITY  OF SOCORRO,71,403,N,Y,,,4,1281,,1,600,,HORIZON,BLVD,N,N,45,N,N,ASPHALT,N,4,76,,1,10790,,NORTH LOOP,,,,,,ASPHALT,,11,1,4,1,1,1,5,7:55 AM,DISPATCHED,8:05 AM,10/21/16,Y,TX0711600,2139,,,,8,2,2,22,64,48,1,3,1,21,21,71,403,31.65165287,-106.2673831,FM,1281,,0.005,FM1281,598,3451,1,1.005,30,-0.019,FM,76,,FM0076,,,,,Y,Y,N,3,6,Y,FRI,2,0,8,8,0,2,2,90,40,24,2,0,0,2,8,5,2,8,5,0,0,4,14,14841,2014,14841,3.8,2.1,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,0,66,23,,
15399128,N,Y,N,N,N,N,N,10/24/2016,7:30 AM,16-298057,CRCC/52,71,136,N,Y,,,19,,,7,100,,CONCEPCION,,N,N,30,N,N,PUBLIC ROADWAY,Y,19,,,7,4900,,ALAMEDA,,,,,,PUBLIC ROADWAY,,11,1,4,2,1,1,5,8:55 AM,DISPATCHED,8:56 AM,10/24/16,Y,TX0710200,1259,,,,8,7,2,2,26,3,1,2,2,21,21,71,136,31.76984939,-106.4316092,SH,20,,23.654,SH0020,4953,2,1,23.741,332,-0.295,,,,S CONCEPCION ST,,,,,Y,Y,N,5,9,Y,MON,3,0,0,0,18,2,4,80,48,48,4,1,1,1,0,0,1,0,0,1,18,4,14,5313,2014,5313,5.2,3.8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,66,339,,
15399347,N,Y,N,N,N,N,N,10/8/2016,8:04 PM,16-282155,CRCC/57,71,136,N,Y,,,19,,,1,3400,,SACRAMENTO,AVE,N,N,30,N,N,,N,19,,,1,2900,,COPIA,ST,,,,,,,11,4,98,,1,1,3,8:04 PM,DISPATCHED,8:13 PM,10/8/16,Y,TX0710200,1259,,,,8,4,2,2,64,54,1,5,1,21,21,71,136,31.80221375,-106.4536091,,,,,SACRAMENTO AVE,3412,,,,,,,,,N COPIA ST,,,,,Y,N,N,5,9,Y,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,0,0,0,66,339,,
