Crash_ID,Crash_Fatal_Fl,Cmv_Involv_Fl,Schl_Bus_Fl,Rr_Relat_Fl,Medical_Advisory_Fl,Amend_Supp_Fl,Active_School_Zone_Fl,Crash_Date,Crash_Time,Case_ID,Local_Use,Rpt_CRIS_Cnty_ID,Rpt_City_ID,Rpt_Outside_City_Limit_Fl,Thousand_Damage_Fl,Rpt_Latitude,Rpt_Longitude,Rpt_Rdwy_Sys_ID,Rpt_Hwy_Num,Rpt_Hwy_Sfx,Rpt_Road_Part_ID,Rpt_Block_Num,Rpt_Street_Pfx,Rpt_Street_Name,Rpt_Street_Sfx,Private_Dr_Fl,Toll_Road_Fl,Crash_Speed_Limit,Road_Constr_Zone_Fl,Road_Constr_Zone_Wrkr_Fl,Rpt_Street_Desc,At_Intrsct_Fl,Rpt_Sec_Rdwy_Sys_ID,Rpt_Sec_Hwy_Num,Rpt_Sec_Hwy_Sfx,Rpt_Sec_Road_Part_ID,Rpt_Sec_Block_Num,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Ref_Mark_Offset_Amt,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Nbr,Rpt_Sec_Street_Desc,Rpt_CrossingNumber,Wthr_Cond_ID,Light_Cond_ID,Entr_Road_ID,Road_Type_ID,Road_Algn_ID,Surf_Cond_ID,Traffic_Cntl_ID,Investigat_Notify_Time,Investigat_Notify_Meth,Investigat_Arrv_Time,Report_Date,Investigat_Comp_Fl,ORI_Number,Investigat_Agency_ID,Investigat_Area_ID,Investigat_District_ID,Investigat_Region_ID,Bridge_Detail_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Obj_Struck_ID,Othr_Factr_ID,Road_Part_Adj_ID,Road_Cls_ID,Road_Relat_ID,Phys_Featr_1_ID,Phys_Featr_2_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Hwy_Sfx,Dfo,Street_Name,Street_Nbr,Control,Section,Milepoint,Ref_Mark_Nbr,Ref_Mark_Displ,Hwy_Sys_2,Hwy_Nbr_2,Hwy_Sfx_2,Street_Name_2,Street_Nbr_2,Control_2,Section_2,Milepoint_2,Txdot_Rptable_Fl,Onsys_Fl,Rural_Fl,Crash_Sev_ID,Pop_Group_ID,Located_Fl,Day_of_Week,Hwy_Dsgn_Lane_ID,Hwy_Dsgn_Hrt_ID,Hp_Shldr_Left,Hp_Shldr_Right,Hp_Median_Width,Base_Type_ID,Nbr_Of_Lane,Row_Width_Usual,Roadbed_Width,Surf_Width,Surf_Type_ID,Curb_Type_Left_ID,Curb_Type_Right_ID,Shldr_Type_Left_ID,Shldr_Width_Left,Shldr_Use_Left_ID,Shldr_Type_Right_ID,Shldr_Width_Right,Shldr_Use_Right_ID,Median_Type_ID,Median_Width,Rural_Urban_Type_ID,Func_Sys_ID,Adt_Curnt_Amt,Adt_Curnt_Year,Adt_Adj_Curnt_Amt,Pct_Single_Trk_Adt,Pct_Combo_Trk_Adt,Trk_Aadt_Pct,Curve_Type_ID,Curve_Lngth,Cd_Degr,Delta_Left_Right_ID,Dd_Degr,Feature_Crossed,Structure_Number,I_R_Min_Vert_Clear,Approach_Width,Bridge_Median_ID,Bridge_Loading_Type_ID,Bridge_Loading_In_1000_Lbs,Bridge_Srvc_Type_On_ID,Bridge_Srvc_Type_Under_ID,Culvert_Type_ID,Roadway_Width,Deck_Width,Bridge_Dir_Of_Traffic_ID,Bridge_Rte_Struct_Func_ID,Bridge_IR_Struct_Func_ID,CrossingNumber,RRCo,Poscrossing_ID,WDCode_ID,Standstop,Yield,Incap_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,MPO_ID,Investigat_Service_ID,Investigat_DA_ID,Investigator_Narrative
14655716,N,Y,N,N,N,N,N,9/23/2015,8:51 AM,15-266062,,71,136,N,Y,,,19,,,1,100,,WALKER,ST,N,N,30,N,N,,N,19,,,1,6300,,ALAMEDA,,,,,,,,11,1,0,,1,1,1,8:51 AM,DISPATCHED,9:03 AM,9/23/15,Y,TX0710200,1259,,,,8,7,4,1,27,54,1,5,1,21,21,71,136,31.76501073,-106.4112076,,,,,WALKER ST,127,,,,,,,,,N/A,,,,,Y,N,N,5,9,Y,WED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,66,339,,
14656198,N,Y,N,N,N,Y,N,9/23/2015,12:54 PM,2015-002094,,71,403,N,Y,,,4,1281,,1,300,,HORIZON,,N,N,45,Y,N,ASPHALT,Y,19,,,1,10700,,MIDDLE DRAIN,,,,,,ASPHALT,,11,1,2,,4,1,8,12:59 PM,DISPATCHED,1:07 PM,12/2/15,Y,TX0711600,2139,,,,8,2,1,10,64,49,1,3,1,21,21,71,403,31.64872486,-106.2795016,,,,,HORIZON BLVD,270,,,,,,,,,UNKNOWN,,,,,Y,N,N,5,6,Y,WED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,66,23,,
14656928,N,Y,Y,N,N,N,N,9/22/2015,7:39 AM,15-265017,MVRC/82,71,136,N,Y,,,19,,,1,300,,N CAROLINA,,N,N,30,N,N,,N,19,,,1,7500,,GREEN VALLEY,,,,,,,,11,1,0,,1,1,1,7:40 AM,DISPATCHED,7:45 AM,9/22/15,Y,TX0710200,1259,,,,8,2,4,20,64,48,1,5,1,21,21,71,136,31.74172485,-106.3727503,,,,,N CAROLINA DR,300,,,,,,,,,N/A,,,,,Y,N,N,5,9,Y,TUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,17,0,0,0,66,915,,
14656931,N,Y,N,N,N,N,N,9/20/2015,10:45 AM,15-263082,MVRC/86,71,136,N,Y,,,19,,,1,100,S,AMERICAS,AVE,N,N,30,N,N,ONE WAY,Y,19,,,1,9400,,ALAMEDA,AVE,,,,,,,12,1,0,3,1,1,5,10:55 AM,DISPATCHED,11:05 AM,9/20/15,Y,TX0710200,1259,,,,8,2,1,24,64,3,1,2,1,21,21,71,136,31.6802583,-106.3127588,SH,20,,33.344,SH0020,,2,2,33.41,342,-0.454,SL,375,,SL0375,,,,,Y,Y,N,5,9,Y,SUN,2,0,0,0,0,2,4,80,48,48,4,1,0,1,0,0,1,0,0,0,0,4,14,10130,2014,10130,1.3,1.9,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,0,0,0,66,915,,
14657091,N,Y,N,N,N,N,N,9/23/2015,8:20 AM,15266059,PHRC/73,71,136,N,Y,,,19,,,1,10700,,GATEWAY WEST,,N,N,45,N,N,NORMAL,Y,19,,,1,1100,,VISTA DE ORO,,,,,,NORMAL,,12,1,0,2,1,1,1,8:26 AM,DISPATCHED,8:38 AM,9/23/15,Y,TX0710200,1259,,,,8,2,2,21,64,9,1,1,1,21,21,71,136,31.7486929,-106.3389585,IH,10,,29.349,IH0010,10800,2121,3,30.123,29,0.373,,,,VISTA DE ORO DR,,,,,Y,Y,N,3,9,Y,WED,5,0,10,10,44,2,6,300,113,72,4,0,1,2,21,5,2,20,5,,23,4,11,131071,2014,131071,2.3,5.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,0,66,1206,,
14657271,N,Y,N,N,N,N,N,9/24/2015,5:59 AM,15-267032,CRCC/53,71,136,N,Y,,,1,10,,1,,,INTERSTATE 10 EAST,,N,N,60,N,N,,N,,,,,,,NOT REPORTED,,0.5,M,E,25,,,11,4,0,2,2,1,20,6:00 AM,DISPATCHED,6:15 AM,9/24/15,Y,TX0710200,1259,,,,8,8,4,1,98,54,1,1,1,21,21,71,136,31.77923366,-106.3940988,IH,10,,25.484,IH0010,,2121,3,26.24,25,0.5,,,,NOT REPORTED,,,,,Y,Y,N,5,9,Y,THU,5,0,10,10,42,8,8,300,136,96,5,0,1,2,20,5,2,20,5,2,22,4,11,152961,2014,152961,3.2,4.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,66,339,,
14657286,N,Y,N,N,N,N,N,9/23/2015,12:03 PM,15-266139,PHRC/91,71,136,N,Y,,,17,,,7,1435,,HENRY BRENNAN,DR,Y,N,-1,N,N,,N,19,,,1,,,PULLMAN,DR,,,,,,,11,1,98,,1,1,17,12:03 PM,DISPATCHED,12:15 PM,9/23/15,Y,TX0710200,1259,,,,8,7,4,4,34,3,7,9,5,33,21,71,136,,,,,,,HENRY BRENNAN DR,,,,,,,,,,N/A,,,,,N,N,N,5,9,N,WED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,1206,,
14657626,N,Y,N,N,N,N,N,9/23/2015,6:23 AM,15-266040,NERC/66,71,136,N,Y,,,19,,,1,10000,,GATEWAY SOUTH,,N,N,55,N,N,NORMAL,Y,19,,,1,4500,,TRANS MOUNTAIN,,,,,,NORMAL,,11,1,98,2,1,1,5,6:37 AM,DISPATCHED,6:44 AM,9/23/15,Y,TX0710200,1259,,,,8,2,1,24,64,54,1,2,1,21,21,71,136,31.89852323,-106.4413643,US,54,,9.688,US0054,,167,1,14.197,29,0.449,SL,375,,SL0375,,,,,Y,Y,N,5,9,Y,WED,5,0,4,10,48,8,4,500,76,48,5,0,1,2,8,5,2,20,5,2,40,4,12,71373,2014,71373,6.9,6.8,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,66,82,,
14657662,N,Y,N,N,N,N,N,9/18/2015,9:30 AM,15-261074,,71,136,N,Y,,,19,,,1,400,N,YARBROUGH,,N,N,40,N,N,"2 WAY, 5 LANES",Y,19,,,1,8100,,NORTH LOOP,,,,,,2 WAY 5 LANES,,11,1,98,2,1,1,5,9:31 AM,DISPATCHED,9:31 AM,9/18/15,Y,TX0710200,1259,,,,8,2,1,21,64,9,1,3,1,21,21,71,136,31.72864761,-106.3478886,FM,76,,4.024,FM0076,,674,1,4.155,348,0.178,,,,N YARBROUGH DR,,,,,Y,Y,N,5,9,Y,FRI,3,0,6,6,30,2,4,141,76,52,5,1,0,2,12,5,2,12,5,1,18,4,14,18632,2014,18632,1.9,1.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,0,0,0,66,915,,
14657788,N,Y,N,N,N,N,N,9/21/2015,8:12 AM,15-264042,MVRC/87,71,136,N,Y,,,19,,,1,100,N,AMERICAS,,N,N,45,N,N,4 LANE ONE WAY ACCESS ROADWAY,N,19,,,1,9500,,ALAMEDA,,,,,,4 LANE TWO WAY ROADWAY,,11,1,98,2,1,1,20,8:16 AM,DISPATCHED,8:27 AM,9/21/15,Y,TX0710200,1259,,,,8,2,4,21,64,9,1,2,1,21,21,71,136,31.67991597,-106.3134479,SL,375,,35.191,SL0375,,2552,3,14.711,47,-0.278,,,,N/A,,,,,Y,Y,N,5,9,Y,MON,5,0,4,10,53,2,4,370,88,48,4,0,0,2,8,5,2,20,5,2,45,4,12,70824,2014,70824,2.1,3.9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,66,915,,
